example1_578,1,3767
example1_579,11,6988
example1_580,40,8008
example1_581,10,308242
example1_582,5,5599
example1_583,3,7916
example1_584,29,6505
example1_586,25,5298
example1_587,24,8872
example1_588,26,5724
example1_589,9,3372
example1_590,1,2273
example1_591,3,2301
example1_592,3,3400
example1_594,10,3859
example1_595,7,3013
example1_596,12,3781
example1_597,3,2453
example1_598,40,10118
example1_599,40,6637
example1_600,3,3561
example1_601,1,2896
example1_602,1,9007
example1_603,1,2445
example1_604,1,2752
example1_605,5,2989
example1_606,19,4809
example1_607,1,2939
example1_608,5,2682
example1_609,1,3578
example1_610,1,3055
example1_611,1,7472
example1_612,3,2048
example1_613,1,2840
example1_614,3,2063
example1_615,4,4709
example1_616,3,2172
example1_617,4,2294
example1_618,3,2931
example1_619,4,2366
example1_620,4,2471
example1_621,3,2096
example1_622,4,2286
example1_623,6,2148
example1_624,4,1832
example1_625,3,2233
example1_626,4,2563
example1_627,8,2670
example1_628,5,2782
example1_629,8,3038
example1_630,5,2505
example1_631,1,3307
example1_632,4,4435
example1_633,1,50483
example1_634,1,2375
example1_635,40,5915
example1_638,40,6800
example1_639,40,5957
example1_640,1,34635
example1_641,23,6642
example1_642,14,3400
example1_643,11,2902
example1_644,14,4574
example1_645,15,102794
example1_646,40,15603
example1_648,40,19884
example1_649,40,12953
example1_650,1,3832
example1_651,40,47083
example1_652,8,68891
example1_653,40,14819
example1_654,16,10500
example1_655,40,12168
example1_656,40,13922
example1_657,40,6943
example1_658,40,23827
example1_659,6,16076
example1_660,2,108489
example1_661,40,27126
example1_662,26,5362
example1_663,40,23334
example1_664,40,6780
example1_665,40,353608
example1_667,1,3225
example1_666,40,11141
example1_668,4,15249
example1_669,8,161350
example1_670,40,35416
example1_671,21,29978
example1_673,27,32415
example1_672,6,467073
example1_674,40,25886
example1_675,3,23498
example1_676,40,67363
example1_677,2,123935
example1_678,40,22055
example1_679,23,29884
example1_680,40,32947
example1_681,1,6836
example1_685,1,3916
example1_684,3,486534
example1_686,1,2587
example1_687,1,13331
example1_688,6,10644
example1_689,25,6573
example1_690,40,19765
example1_691,1,3947
example1_692,4,6217
example1_693,3,5088
example1_694,1,4636
example1_695,38,29830
